Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,204.6316964,208.8378793,226.08189,214.7852167,207.6266987,185.2136444,172.1587293,210.8190166,194.917536,253.5445738,281.9623159,243.8621009,234.8512256,258.8499236,233.4927883,168.7401612,360.8532334,189.1634032,161.8063292,170.1059494,174.6945937,165.1212662,182.2709607,92.36315561,228.3922421,266.4835618,2.868273605,7.234613021,10.0273284,10.63455835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,0.9060595568,0.9224739173,0.9308158935,0.9405695293,0.996033447,1.047279743,1.033908319,1.052204052,1.079726652,1.104631605,1.123261243,1.219593048,1.209262779,1.204522542,1.186045209,1.181139367,1.190203366,1.182217743,1.169157603,1.216900549,1.235910896,1.319763789,1.367396551,1.386366901,1.431963637,1.423144569,1.4207769,1.390141636,1.407205363,1.357143612,1.017504843,0.9713237983,0.931920141,0.9254646317,0.9186118141,0.9464749483,0.9511323224,0.9715626275,0.9696800778,0.908374394,0.9003991498,0.9719807866,0.975749135,1.009962896,1.057181535,1.032998428,1.023645551,1.045967785,1.086448849,1.021953566,1.048875556,1.00533811,1.021646329,1.031833091,1.041144792,0.9873931674,0.9710164553,0.9599780168,0.9335412011
Afghanistan,0.04605674334,0.05358885843,0.07372082295,0.07416076369,0.08617369396,0.1012849328,0.1073988387,0.1234094133,0.1151424867,0.0865098884,0.1496513137,0.1652082489,0.129995517,0.1353665875,0.1545031161,0.1676123029,0.153557886,0.1815223318,0.1618942196,0.1670663616,0.131783027,0.1506145876,0.1631040609,0.2012242725,0.23196108,0.2939570307,0.2677719499,0.2692295031,0.2468232076,0.2338822734,0.2384729161,0.2060302807,0.09871911602,0.08598560462,0.07613145396,0.06902011644,0.06258803431,0.05682661775,0.05319749901,0.04065273015,0.03705493712,0.03748786504,0.0486708995,0.05700803826,0.04569960822,0.06392696983,0.07339294606,0.08708312919,0.1583563777,0.2113062509,0.2970652116,0.4070735031,0.3353510233,0.2637157606,0.2340369144,0.2321756312,0.2088571956,0.2033275686,0.200151071
Africa Western and Central,0.09087954813,0.09528283499,0.09661237391,0.112376069,0.1332584621,0.1848027971,0.1936759093,0.1893050863,0.1439885721,0.2021288795,0.3026434799,0.3921093911,0.4599928701,0.5385221762,0.6359655799,0.5140183177,0.5500244108,0.5163367672,0.508535708,0.6482731518,0.6345407852,0.6047141698,0.5996485428,0.5395672724,0.5813731759,0.5834954779,0.5439875674,0.4749060229,0.5349619299,0.4140904433,0.440470203,0.4748677006,0.5166769034,0.5189515487,0.4928584798,0.4874947899,0.5076334955,0.4884155892,0.46162232,0.4535489955,0.4472436201,0.4741396848,0.4748751856,0.4745922654,0.4743182464,0.509458302,0.4879525095,0.4751478377,0.4750245447,0.4267695963,0.4728191247,0.4970225844,0.4908667866,0.5046552986,0.5076711207,0.4807430713,0.472959364,0.476437769,0.515544239
Angola,0.1008352432,0.08220410883,0.2105329786,0.2027390526,0.213562174,0.2058908188,0.2689372036,0.1720958223,0.2897019789,0.4801990187,0.6082241153,0.5645050626,0.7211983104,0.751202772,0.7207504766,0.6285694435,0.4513460162,0.4692162562,0.6947309728,0.6830591335,0.6409663254,0.6111328563,0.5193534079,0.5513480987,0.5209827478,0.4719029616,0.451618664,0.544085285,0.4635082545,0.4372951947,0.5342500265,0.533109052,0.5032644641,0.5277228895,0.4954178294,0.7730255669,0.792321385,0.7887531997,0.7402536524,0.7972586403,0.7544763717,0.7618428051,0.7774230856,0.9938483491,1.028353667,0.9370366917,1.00943404,1.123635278,1.155992846,1.205901589,1.221514741,1.216316979,1.204798883,1.261541742,1.285364553,1.260920989,1.227702942,1.0343173,0.8873803639
Albania,1.258194928,1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,1.840840616,1.258115765,0.6898592841,0.6414056141,0.6671787939,0.6117102037,0.6218369569,0.4700978089,0.5753500845,0.9553593084,1.026213109,1.052228093,1.229101183,1.352144481,1.417273358,1.351491805,1.353362203,1.420867288,1.414847553,1.47565225,1.572250938,1.734823308,1.579091995,1.654524278,1.806788541,1.759987059,1.714126173,1.948872038,1.939731563
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.521831658,7.23537924,6.9630787,6.724177518,6.541578914,6.733479486,6.99159455,7.307441152,7.63953851,7.923191648,7.952286282,7.721549062,7.566240292,7.242415961,7.344262295,7.353780223,6.790542626,6.531046661,6.439303601,6.156687702,6.157198001,5.850885991,5.944654058,5.942800545,5.807127618,6.026181837,6.080600298,6.104133927,5.97340536
Arab World,0.6092683376,0.6626176769,0.7271170178,0.8531158595,0.9723814362,1.138673758,1.251997332,1.316087107,1.457734159,1.767050985,1.797938338,1.997325084,2.11931279,2.400508136,2.280801305,2.193992723,2.581496457,2.644691556,2.758892516,2.860874674,3.091803253,2.924498084,2.71072597,2.806024733,2.970000822,3.044786958,3.271081781,3.183740725,3.277904358,3.238795676,2.870778858,2.912911283,2.959285707,3.082221879,3.166690293,3.161191366,3.196048494,3.21328534,3.16314475,3.131298918,3.163304937,3.28250948,3.347226798,3.361727771,3.474239846,3.704297926,3.801646161,3.883139874,4.093538195,4.193271548,4.322001927,4.308740507,4.512189409,4.495194439,4.600190659,4.617963545,4.57030837,4.528350612,4.438715965
United Arab Emirates,0.1190365409,0.1091358221,0.1635418153,0.1758331335,0.1328151598,0.1468219279,0.1604523094,5.400016493,6.807102179,101.0531553,65.0175087,76.34985205,70.86525586,77.61913462,67.01617689,56.66747098,62.15653697,52.74497482,53.63795844,39.28906082,36.19856264,33.61020407,31.65451453,28.76986822,35.85468288,36.54478412,32.65699958,31.10022393,29.72692598,31.57484545,30.29910246,31.74752305,29.05169877,28.59923567,29.76407103,30.07744196,29.85678902,30.49007603,29.80576664,28.99499634,26.97453501,29.14565622,28.20537955,27.89114345,27.03156411,25.34315035,22.91623744,21.34759078,22.03262691,19.85255706,19.04327931,18.5899326,19.22311613,20.0154209,19.95185248,20.94809226,21.30760952,21.95061433,20.7974984
Argentina,2.383342738,2.458550953,2.538447236,2.330684619,2.553441563,2.656466458,2.806896016,2.871099282,2.981777188,3.28816092,3.464526801,3.666158963,3.657008599,3.754154724,3.753366162,3.670150846,3.799261982,3.780415632,3.792881804,4.029808803,3.897887773,3.600810155,3.591793169,3.595563797,3.582148015,3.329225096,3.39465765,3.68588379,3.835715557,3.642232114,3.06082582,3.183892912,3.201675429,3.268462271,3.308173561,3.267757293,3.590723767,3.570643522,3.692658254,3.67974327,3.577628213,3.349908589,3.117424796,3.370102174,3.685184209,3.762123928,3.954453814,4.123292779,4.195342638,3.889060402,4.122245087,4.296015486,4.277881789,4.359886344,4.216360632,4.314433522,4.227539442,4.089471516,3.987234198
